Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
11,AI Frameworks Engineer ,    Intel Technology India Pvt Ltd,6 - 12 yrs,,"Hyderabad/Secunderabad,  Bengaluru / Bangalore","AI Frameworks Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  tests and optimizes for AI frameworks  ( e.g. ,","cuda  ,  c    ,  python  ,  c  ,  machine learning  ,  compilers  ,  debugging  ,  software engineering  ,  software developer"
12,AI Frameworks Engineer ,    Intel Technologies,6 - 12 yrs,,"Hyderabad/Secunderabad,  Bengaluru / Bangalore","AI Frameworks Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  tests and optimizes for AI frameworks  ( e.g. ,","cuda  ,  c    ,  python  ,  c  ,  machine learning  ,  compilers  ,  debugging  ,  software engineering  ,  software developer"
13,AI / ML Engineer ,    klearnow,0 - 3 yrs,,Gurgaon,"We are looking for is an experienced AI / ML Engineer who is self-driven and result oriented ,  a team player and able to work across teamsResponsibilities Design and develop ","algorithms  ,  artificial intelligence  ,  sql  ,  security  ,  digitization  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  infrastructure"
14,AI / ML Engineer ,    CoreStack,5 - 8 yrs,,Chennai,Requirements Please apply only if you have hands-on expertise designing and installing simple to advanced Time Series Forecasting Models in the Python language. We're looking ,"algorithms  ,  docker  ,  security  ,  mongodb  ,  python  ,  cloud services  ,  machine learning  ,  nist  ,  nosql  ,  written communication"
15,AI / ML Engineer ,    TECHNOPARK TRIVANDRUM,0 - 3 yrs,,Thiruvananthapuram,Whats important to us:We are seeking experienced AI / ML Engineers who will be responsible for developing and driving new business opportunities internationally. The incumbent,"artificial intelligence  ,  java  ,  software engineering  ,  moodle  ,  image processing  ,  python  ,  natural language processing  ,  machine learning  ,  javascript  ,  ruby  ,  php"
16,AI ML Engineer ,    APPLYCUP HIRING SOLUTIONS LLP,2 - 10 yrs,,Chennai,"AI ML EngineerChennai ,  Tamil Nadu Qualification : B.Tech / M.Tech / M.E  / B.E / MCA / BCA / M.Sc / B.Sc , CS ,  Experience : 2 - 10 YearsSkills : python ,  JAVA ,  HTML ,  ","python  ,  java  ,  html  ,  sql"
17,      Senior AI / ML Engineer ,    Vehere,8 - 10 yrs,,Kolkata,"Job Summary:You will be part of the team that develops Veheres next-generation security product. Our groundbreaking technology ,  services delivery ,  and intelligence gatheri","fundamentals  ,  algorithms  ,  scala  ,  security  ,  database  ,  java  ,  apache  ,  linux  ,  data structures  ,  python  ,  machine learning  ,  nosql"
18,AI / ML Engineer ,    klearnow,0 - 3 yrs,,Gurgaon,"Responsibilities Develop innovative AI solutions for challenging business problems.Discover data sources ,  get access to them ,  import them ,  clean them up ,  and make them","algorithms  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  sql  ,  security  ,  infrastructure"
19,AI - Senior Engineer ,    quality engineering pvt.ltd.jalgaon,5 - 8 yrs,,Thiruvananthapuram,Capture technical requirements from customerCommunicate directly with the customer on any technical issues and offer solutions whenever requiredWork jointly with the Research ,"algorithms  ,  python  ,  machine learning  ,  artificial intelligence"
20,AI Solution Engineer ,    Intel Technology India Pvt Ltd,6 - 9 yrs,,Bengaluru / Bangalore,"AI Solution Engineer Job DescriptionVSG is engaged in exploring opportunity in emerging Technology opportunity areas like Healthcare ,  Digital Economy ,  Education etc. The s","algorithms  ,  c    ,  system software  ,  graphics  ,  docker  ,  devops  ,  linux  ,  debugging  ,  software engineering  ,  business applications  ,  python  ,  c  ,  computer networks  ,  machine learning  ,  windows  ,  interconnect  ,  written communication  ,  sdl"
21,AI Solution Engineer ,    Intel Technologies,6 - 9 yrs,,Bengaluru / Bangalore,"AI Solution Engineer Job DescriptionVSG is engaged in exploring opportunity in emerging Technology opportunity areas like Healthcare ,  Digital Economy ,  Education etc. The s","algorithms  ,  c    ,  system software  ,  graphics  ,  docker  ,  devops  ,  linux  ,  debugging  ,  software engineering  ,  business applications  ,  python  ,  c  ,  computer networks  ,  machine learning  ,  windows  ,  interconnect  ,  written communication  ,  sdl"
22,AI Application Engineer ,    H2O.ai,3 - 5 yrs,,Chennai,Responsibilities and Duties:As an AI Application Engineer in H2O.ai Professional Services team you will work closely with Technical teams on the Customer side and Customer Suc,"fundamentals  ,  rest api  ,  sql  ,  database  ,  java  ,  linux  ,  cloud computing  ,  big data  ,  python  ,  os  ,  ubuntu  ,  microsoft azure  ,  machine learning  ,  nosql  ,  django"
23,AI Platforms Engineer ,    Intel Technology India Pvt Ltd,6 - 9 yrs,,Bengaluru / Bangalore,AI Platforms Engineer Job DescriptionThis is an exciting opportunity for an individual who is interested in joining AI Platforms team that is fast growing and strategically im,"information technology  ,  hosting  ,  storage  ,  database  ,  devops  ,  linux  ,  software engineering  ,  linux shell scripting  ,  python  ,  team player  ,  written communication  ,  splunk  ,  reporting tools"
24,AI Frameworks Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Frameworks Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  and optimizes for AI frameworks  ( e.g. ,  Open","algorithms  ,  machine learning  ,  artificial intelligence  ,  data communication  ,  software engineering"
25,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technology India Pvt Ltd,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI ","algorithms  ,  c    ,  gcc  ,  storage  ,  artificial intelligence  ,  software engineering  ,  python  ,  infrastructure"
26,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technologies,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI ","algorithms  ,  c    ,  gcc  ,  storage  ,  artificial intelligence  ,  software engineering  ,  python  ,  infrastructure"
27,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technologies,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI ","algorithms  ,  c    ,  gcc  ,  storage  ,  artificial intelligence  ,  software engineering  ,  python  ,  infrastructure"
28,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technology India Pvt Ltd,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI ","algorithms  ,  c    ,  gcc  ,  storage  ,  artificial intelligence  ,  software engineering  ,  python  ,  infrastructure"
29,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technology India Pvt Ltd,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI ","algorithms  ,  c    ,  gcc  ,  storage  ,  artificial intelligence  ,  software engineering  ,  python  ,  infrastructure"
30,AI Software Solutions Engineer  ( AI Frameworks )  ,    Intel Technology India Pvt Ltd,3 - 6 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( AI Frameworks )  Job DescriptionWe are looking for a dynamic software engineer to design ,  develop and optimize for performance ,  AI framew","algorithms  ,  c    ,  python  ,  gcc  ,  storage  ,  artificial intelligence  ,  infrastructure  ,  software engineering  ,  software engineer
 

"
31,      Vitis AI Engineer - Vision Accelerator Development ,    Xilinx India Technology Services Pvt Ltd,9 - 12 yrs,,Hyderabad/Secunderabad,"Vitis AI Vision is a library of AIE / HLS / RTL /  IPs and SW IPs which accelerate on FPGA vision algorithms with applications in ML Inference ,  ADAS ,  ISP and other areas.V","algorithms  ,  c    ,  signal processing  ,  compilers  ,  big data  ,  python  ,  c  ,  machine learning"
32,      Vitis AI Engineer - Vision Accelerator Development ,    Xilinx India Technology Services Pvt Ltd,9 - 12 yrs,,Hyderabad/Secunderabad,"At Xilinx ,  we are leading the industry transformation to build an adaptable ,  intelligent world. ARE YOU bold ,  collaborative ,  and creative? We develop leaders and innov","algorithms  ,  c    ,  signal processing  ,  compilers  ,  big data  ,  python  ,  c  ,  machine learning"
33,      Software Engineer AI / ML Platform ,    zerogons services pvt ltd,4 - 10 yrs,,Pune,"Technical: Solution selling knowledge ,  in particular for Big Data ,  AI ,  ML  &  Cloud solutions4-10 years of relevant sales experience  High achieving ,  ambitious ,  and ","Big Data  ,   AI  ,  Software Engineer  ,  promote strong  ,  "
34,      Software Engineer  ( AI / ML )  ,    APPLYCUP HIRING SOLUTIONS LLP,1 - 4 yrs,,Bengaluru / Bangalore,"Qualification : BE  , Btech  , BSC Computer / IT , MSC  , MCA , any graduate ,  Experience : 1 - 4 YearsSkills : AI and MLJob Description :Job description:-Requirements:1-4 Ye","algorithms  ,  python  ,  software engineer  ,  machine learning  ,  artificial intelligence"
35,      Senior Software Engineer - AI ,    quality engineering pvt.ltd.jalgaon,0 - 3 yrs,,Thiruvananthapuram,"Required Skills: Knowledge of machine learning  ( ML )  and statistical modeling concepts.deep knowledge of ML concepts for classification ,  regression ,  clustering ,  etc.A","python  ,  computer programming  ,  entry level  ,  debugging  ,  senior software engineer  ,  machine learning"
36,AI / ML Software Engineer ,    simplecrm,3 - 6 yrs,,"Mumbai,  Delhi,  Delhi/NCR,  Bengaluru / Bangalore",Expectations: The candidate should have a Bachelors / Masters degree in Computer Science Engineering or related field.3  years of overall software development experience and 1,"python  ,  natural language processing  ,  machine learning  ,  artificial neural networks  ,  security  ,  git  ,  web technologies  ,  software engineer  ,  technical skills"
37,AI Software Solutions Engineer ,    Intel Technology India Pvt Ltd,8 - 15 yrs,,Bengaluru / Bangalore,AI Software Solutions Engineer. Job DescriptionIntel DPG AI group focuses on developing disruptive solutions that will shape the future of AI and Deep Learning computing. Led ,"dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
38,AI Software Solutions Engineer ,    Intel Technologies,8 - 15 yrs,,Bengaluru / Bangalore,AI Software Solutions Engineer. Job DescriptionIntel DPG AI group focuses on developing disruptive solutions that will shape the future of AI and Deep Learning computing. Led ,"dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
39,AI Software Solution Engineer ,    Intel Technologies,4 - 7 yrs,,Bengaluru / Bangalore,"AI Software Solution Engineer Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI solutions using Intel","algorithms  ,  cuda  ,  c    ,  artificial intelligence  ,  debugging  ,  software engineering  ,  big data  ,  python  ,  c  ,  problem solving  ,  machine learning"
40,AI Software Solutions Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers for Intel's deep","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
41,AI Software Solutions Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers for Intel's deep","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
42,AI Software Solutions Engineer ,    Intel Technology India Pvt Ltd,6 - 9 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer Job DescriptionYou will be working on cutting edge problems in Deep Learning for Intel AI Accelerator SW Stack in a fast paced ,  dynamic and st","algorithms  ,  c    ,  ece  ,  storage  ,  artificial intelligence  ,  debugging  ,  software engineering  ,  python"
43,AI Frameworks Validation Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Frameworks Validation Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  and optimizes for AI frameworks  ( e","algorithms  ,  machine learning  ,  artificial intelligence  ,  data communication  ,  software engineering"
44,      Automation Engineer AI / ML ,    Parallel Wireless,4 - 6 yrs,,Bengaluru / Bangalore,"- Develop automated test cases to test AI applications- Integrate automation test cases with the CI and CD framework- Review software requirements ,  design to create automati","rest api  ,  software requirements  ,  sql  ,  docker  ,  java  ,  linux  ,  telecom  ,  software engineering  ,  perl  ,  python  ,  mobile  ,  team player  ,  infrastructure"
45,AI Frameworks Validation Engineer ,    Intel Technologies,0 - 3 yrs,,Bengaluru / Bangalore,"AI Frameworks Validation Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  and optimizes for AI frameworks  ( e","algorithms  ,  machine learning  ,  artificial intelligence  ,  data communication  ,  software engineering"
46,      Automation Engineer - AI Flagship ,    Schneider Electric Pvt Ltd,2 - 5 yrs,,Bengaluru / Bangalore,Automation Engineer - AI Flagship - 0078AWRoles  &  ResponsibilitiesBuild and development of a given business operational process automation ensuring it adhere to required dev,"information technology  ,  .net technologies  ,  exception handling  ,  api  ,  business applications  ,  c#  ,  python  ,  problem solving  ,  project delivery  ,  software support  ,  c#.net"
47,AI SW Solution Engineer ,    Intel Technologies,8 - 15 yrs,,Bengaluru / Bangalore,AI SW Solution Engineer Job DescriptionIntel DPG AI group focuses on developing disruptive solutions that will shape the future of AI and Deep Learning computing. Led by top t,"dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
48,AI SW Solution Engineer ,    Intel Technologies,8 - 15 yrs,,Bengaluru / Bangalore,AI SW Solution Engineer Job DescriptionIntel DPG AI group focuses on developing disruptive solutions that will shape the future of AI and Deep Learning computing. Led by top t,"dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
49,AI SW Solution Engineer ,    Intel Technology India Pvt Ltd,8 - 15 yrs,,Bengaluru / Bangalore,Job Type: Experienced HireAI SW Solution Engineer Job DescriptionIntel DPG AI group focuses on developing disruptive solutions that will shape the future of AI and Deep Learni,"dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
50,AI SW Solution Engineer ,    Intel Technology India Pvt Ltd,8 - 15 yrs,,Bengaluru / Bangalore,"? Bachelors  /  Masters Degree in Computer Science ,  Electronics Engineering ,  Mathematics ,  or related field of study with 8-15 years of relevant experience.? Experience w","dsp  ,  c    ,  software design  ,  storage  ,  artificial intelligence  ,  git  ,  devops  ,  linux  ,  software engineering  ,  image processing  ,  python  ,  gdb  ,  c   programming  ,  unix"
51,      Analyst / Engineer-AI / ML ,    APPLYCUP HIRING SOLUTIONS LLP,2 - 4 yrs,,"Delhi,  Delhi/NCR","Qualification : BE  , Btech  , BSC Computer / IT , MSC  , MCA , any graduate ,  Experience : 2 - 4 YearsSkills : Python ,  Java and R ,  Machine Learning EngineeJob Descriptio","algorithms  ,  python  ,  machine learning  ,  java  ,  data structures"
52,AI Software Development Engineer ,    Intel Technology India Pvt Ltd,10 - 13 yrs,,Bengaluru / Bangalore,AI Software Development Engineer Job DescriptionJob Description: We are looking for experienced software engineers to join our Client AI team responsible for development of Wi,"cuda  ,  c    ,  graphics  ,  embedded software development  ,  api  ,  c  ,  operating system  ,  kernel  ,  cl  ,  windows  ,  high performance computing"
53,AI Software Development Engineer ,    Intel Technology India Pvt Ltd,5 - 8 yrs,,Bengaluru / Bangalore,AI Software Development Engineer Job DescriptionJob Description: We are looking for experienced software engineers to join our Client AI team responsible for development of Wi,"cuda  ,  c    ,  graphics  ,  embedded software development  ,  api  ,  c  ,  operating system  ,  kernel  ,  cl  ,  windows  ,  high performance computing"
54,AI Software Development Engineer ,    Intel Technologies,5 - 8 yrs,,Bengaluru / Bangalore,AI Software Development Engineer Job DescriptionJob Description: We are looking for experienced software engineers to join our Client AI team responsible for development of Wi,"cuda  ,  c    ,  graphics  ,  embedded software development  ,  api  ,  c  ,  operating system  ,  kernel  ,  cl  ,  windows  ,  high performance computing"
55,AI Software Development Engineer ,    Intel Technologies,10 - 13 yrs,,Bengaluru / Bangalore,Job Type: Experienced HireAI Software Development Engineer Job DescriptionJob Description: We are looking for experienced software engineers to join our Client AI team respons,"cuda  ,  c    ,  graphics  ,  embedded software development  ,  api  ,  c  ,  operating system  ,  kernel  ,  cl  ,  windows  ,  high performance computing"
56,AI Software Solution Engineer ,    Intel Technology India Pvt Ltd,4 - 7 yrs,,Bengaluru / Bangalore,"AI Software Solution Engineer Job DescriptionWorks with internal engineering teams and external partners ,  customers ,  and ISVs to deliver optimized AI solutions using Intel","algorithms  ,  cuda  ,  c    ,  artificial intelligence  ,  debugging  ,  software engineering  ,  big data  ,  python  ,  c  ,  problem solving  ,  machine learning"
57,AI Software Development Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,AI Software Development Engineer Job DescriptionBuild framework for supporting secure AI heterogenous workloads  ( GPU   VPU )  on ChromeOS. Framework should dynamically switc,"c    ,  python  ,  c  ,  linux operating system  ,  ubuntu  ,  linux scripting  ,  fedora  ,  written communication"
58,AI software Solutions Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI software Solutions Engineer Job DescriptionIntel's Internet of Things Group runs Intel's Edge / IOT business. Within that group ,  the Developer Tools   Applications team i","c    ,  artificial intelligence  ,  software engineering  ,  python  ,  c"
59,      Principal Engineer - AI Engine ,    Xilinx India Technology Services Pvt Ltd,15 - 18 yrs,,Hyderabad/Secunderabad,"Developing great technology takes more than talent: it takes amazing people who understand collaboration ,  respect ,  and who will go the extra mile to achieve unthinkable re","physical design  ,  soc  ,  rtl design  ,  system verilog  ,  verification  ,  systemc  ,  cpu  ,  uvm  ,  verilog"
60,      Artificial Intelligence  ( AI )  Software Engineer ,    APPLYCUP HIRING SOLUTIONS LLP,2 - 5 yrs,,Bengaluru / Bangalore,"Artificial Intelligence  ( AI )  Software EngineerBangalore ,  KarnatakaSkills : C   ,  Java ,  .net ,  REST / SOAP API standards ,  java ,  javascript ,  html5 / CSS and Pyth","c    ,  css  ,  html5  ,  artificial intelligence  ,  java  ,  google api  ,  devops  ,  software engineer  ,  api  ,  big data  ,  rest  ,  python  ,  github  ,  javascript  ,  written communication  ,  .net  ,  soap"
61,      Artificial Intelligence  ( AI )  Software Engineer ,    FUGENX TECHNOLOGIES,2 - 5 yrs,,Bengaluru / Bangalore,"Experience Required : 2  4 years ExperienceSkills Required: : BE / B TECH  ( Computer Science  /  IT )  ,  MCA ,  BBM ,  MBA.Job Location : BangaloreThe position requires a de","c    ,  css  ,  html5  ,  artificial intelligence  ,  java  ,  google api  ,  devops  ,  api  ,  big data  ,  rest  ,  github  ,  python  ,  javascript  ,  written communication  ,  .net  ,  soap"
62,      Civil Engineer  ( Project Engineer )  ,    Electrobrain modern technologies pvt ltd,3 - 8 yrs,₹Rs 4.50 - 9.50 Lacs p.a.,"Allahabad,  Ghaziabad,  Kanpur,  Lucknow","To Assist And Help With Construction Process ,  Manpower Management Alongside Senior Engineer.Primary Responsibilities:Assist With Feasibility Assessments ,  Approvals And Per","Engineering  ,  Civil  ,  Site  ,  Manufacturing Engineering  ,  Civil Engineering  ,  Manpower management  ,  Inventory  ,  Engineering Design  ,  Manager Quality Control"
63,"      Electrical Engineer  ( RF Engineer )  , Asistant Electrical Engineer ",    Electrobrain modern technologies pvt ltd,2 - 7 yrs,₹Rs 4.50 - 8.80 Lacs p.a.,"Bhavnagar,  Bhuj,  Gandhinagar,  Jamnagar","Job DescriptionDesign or modify electrical / electronic engineering assemblies ,  layouts / schematics and / or detailed drawings / specifications of moderate scope under gene","Electrical Engineering.  ,  Automation Testing Engineering  ,  MATLAB  ,  Electrical Maintenance  ,  electrical supervisor  ,  Quality Surveying  ,  Machinery  ,  plc"
64,      Project Engineer ,    V P Placement,14 - 19 yrs,₹Rs 9.45 - 17.75 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi,  Kolkata,  Mumbai","We are looking for an accountable Project Engineer to be responsible for all engineering and technical disciplines that projects involve. You will schedule ,  plan ,  forecast","Current engineer license  ,  Decision making ability  ,  leadership skills  ,  Project management  ,  supervision  ,  Advanced MS Office skills  ,  Project Engineer
 

"
65,      Civil Engineer ,    V P Placement,12 - 17 yrs,₹Rs 12.40 - 27.60 Lacs p.a.,"Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai,  Pune","We are looking for an innovative Civil Engineer to design ,  develop and construct a huge range of projects of the physically and naturally built environment from conception t","BS  /  MA in Civil Engineering  ,  License of professional engineer  ,  Strong communication  ,  interpersonal skills  ,  Project management  ,  grading  ,  utility design  ,  erosion control"
66,      Structural Engineer ,    V P Placement,11 - 16 yrs,₹Rs 9.55 - 19.70 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata","Structural engineers usually hold a degree in Structural Engineering or similar field. They have experience using computer-aided design software ,  such as AutoCAD. This role ","Attention to detail  ,  Structural Design  ,  Estimation  ,  AutoCAD  ,  Good communication  ,  Leadership Quality  ,  Excellent knowledge  ,  construction methods"
67,      Process Engineer ,    V P Placement,10 - 15 yrs,₹Rs 11.40 - 26.75 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai","We are looking for an experienced Process Engineer to be responsible for the process design ,  operation and implementation. The successful candidate will be able to improve i","BS degree in Engineering  ,  Analytical thinker  ,  interpersonal skills  ,  Familiarity with health  ,  safety regulations  ,  CAD or AutoCad skills  ,  Excellent technical skills"
68,      Sales Engineer ,    NISUKA INDUSTRIES PRIVATE LIMITED,2 - 5 yrs,₹Rs 1.90 - 3.00 Lacs p.a.,Ahmedabad,"Welcomes customers by greeting them offering them assistance.provide accurate information to client.  ( e.g. product features ,  pricing and after-sales services ) Support bra","Cold Calls  ,  Stone Crusher Industries
        
       
directions_walk
Walk-in Details 17-May-2022 - 17-May-2022  11:00 AM - 05:30 PM   4304, C/1-B, PHASE-4, G.I.D.C., VATVA, AHMEDABAD - 382445
"
69,"      ""DevOps Engineer"" ",    TeamQuest Consultant Pvt Ltd,4 - 8 yrs,₹Rs 12.00 - 24.00 Lacs p.a.,"Mumbai,  Navi Mumbai,  Thane","We at TeamQuest Consultant hiring Devops Engineer's for Tech Mahindra at Navi Mumbai  (  Belapur  )  Location.below is the Job Description ,  Interested candidates can connect","Devops  ,  Java  ,  Maven  ,  ""Rest Assured""  ,  jenkin  ,  jira  ,  git"
70,      Design Engineer ,    Electrobrain modern technologies pvt ltd,2 - 7 yrs,₹Rs 3.50 - 7.50 Lacs p.a.,"Belgaum,  Bidar,  Mangalore,  Mysoru / Mysore",Job DescriptionDrawing solar panel roof designs  &  drafts.Meeting all project specifications using AutoCAD.proper interpretation of design and drawings.interacting with team ,"Auto CAD Design  ,  Cam  ,  Cad  ,  Cae  ,  Catia 5  ,  Catia  ,  Catia V5  ,  Pro-e  ,  Ansys  ,  Solid Works  ,  Solid Edge  ,  Unigraphics  ,  Master Cam  ,  Tool Room  ,  Lathe  ,  Milling Machine  ,  Roll Milling"
71,      Piping Engineer ,    DHR Tech Solutions,0 - 3 yrs,₹Rs 3.00 - 6.00 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata,  Mumbai","Piping Engineer Required ,  Knowledge in detailed engineering ,  Plant Layout ,  Piping layouts ,  Piping GA Drawings ,  Isometrics ,  Development of Piping Material Specifica","Semiconductor  ,  AutoCAD  ,  Aerospace  ,  Equipment layout  ,  Healthcare  ,  Equipment modeling  ,  Microstation  ,  Autodesk  ,  Supervision  ,  Piping Design  ,  Piping Layout  ,  Piping System"
